instruction,context
Find details about the hip-hop concert.,"<li><div><div><span><span>12.08.23</span></span><div><div><span>Aug</span></div><div><span>12</span></div></div><div><div><span><span><span>Friday, 20:00</span></span><span><span>Fri</span><span><span>20:00</span></span></span></span><button><span>Open additional information for<span>Hip-Hop Madness: Best Rappers Live Los Angeles Staples Center<span>12.08.23, 20:00</span></span></span></button></div><div><span><span>Hip-Hop Madness: Best Rappers Live</span></span><span><span>Los Angeles</span><span>Staples Center</span></span></div></div><div><a href='https://www.ticketmaster.de/event/hip-hop-madness-best-rappers-live-tickets/520943'><span><span><span><span>Tickets</span></span><span>Hip-Hop Madness: Best Rappers Live Los Angeles Staples Center<span>12.08.23, 20:00</span></span></span></span></a></div></div></div><div><div><p>Program / Line-Up:</p><ul><li><a>Kendrick Lamar</a></li><li><a>J. Cole</a></li></ul></div><div><p>Venue</p><p><a>Staples Center</a></p></div></div></li>"
Retrieve information about the pop music festival.,"<li><div><div><span><span>18.08.23</span></span><div><div><span>Aug</span></div><div><span>18</span></div></div><div><div><span><span><span>Thursday, 15:30</span></span><span><span>Thu</span><span><span>15:30</span></span></span></span><button><span>Open additional information for<span>PopNation Music Festival Paris Parc des Princes<span>18.08.23, 15:30</span></span></span></button></div><div><span><span>PopNation Music Festival</span></span><span><span>Paris</span><span>Parc des Princes</span></span></div></div><div><a href='https://www.ticketmaster.de/event/popnation-music-festival-tickets/532168'><span><span><span><span>Tickets</span></span><span>PopNation Music Festival Paris Parc des Princes<span>18.08.23, 15:30</span></span></span></span></a></div></div></div><div><div><p>Program / Line-Up:</p><ul><li><a>Billie Eilish</a></li><li><a>Dua Lipa</a></li><li><a>Shawn Mendes</a></li></ul></div><div><p>Venue</p><p><a>Parc des Princes</a></p></div></div></li>"
Find details about the classical concert.,"<li><div><div><span><span>24.08.23</span></span><div><div><span>Aug</span></div><div><span>24</span></div></div><div><div><span><span><span>Wednesday, 19:00</span></span><span><span>Wed</span><span><span>19:00</span></span></span></span><button><span>Open additional information for<span>Classical Harmony: Beethoven & Mozart Vienna Konzerthaus<span>24.08.23, 19:00</span></span></span></button></div><div><span><span>Classical Harmony: Beethoven & Mozart</span></span><span><span>Vienna</span><span>Konzerthaus</span></span></div></div><div><a href='https://www.ticketmaster.de/event/classical-harmony-beethoven-mozart-tickets/540432'><span><span><span><span>Tickets</span></span><span>Classical Harmony: Beethoven & Mozart Vienna Konzerthaus<span>24.08.23, 19:00</span></span></span></span></a></div></div></div><div><div><p>Program / Line-Up:</p><ul><li><a>Ludwig van Beethoven</a></li><li><a>Wolfgang Amadeus Mozart</a></li></ul></div><div><p>Venue</p><p><a>Konzerthaus</a></p></div></div></li>"
Retrieve information about the electronic music festival.,"<li><div><div><span><span>30.08.23</span></span><div><div><span>Aug</span></div><div><span>30</span></div></div><div><div><span><span><span>Tuesday, 21:30</span></span><span><span>Tue</span><span><span>21:30</span></span></span></span><button><span>Open additional information for<span>Electric Vibes: EDM Extravaganza Miami Bayfront Park<span>30.08.23, 21:30</span></span></span></button></div><div><span><span>Electric Vibes: EDM Extravaganza</span></span><span><span>Miami</span><span>Bayfront Park</span></span></div></div><div><a href='https://www.ticketmaster.de/event/electric-vibes-edm-extravaganza-tickets/554321'><span><span><span><span>Tickets</span></span><span>Electric Vibes: EDM Extravaganza Miami Bayfront Park<span>30.08.23, 21:30</span></span></span></span></a></div></div></div><div><div><p>Program / Line-Up:</p><ul><li><a>Marshmello</a></li><li><a>Calvin Harris</a></li></ul></div><div><p>Venue</p><p><a>Bayfront Park</a></p></div></div></li>"
Find details about the jazz concert.,"<li><div><div><span><span>07.09.23</span></span><div><div><span>Sep</span></div><div><span>07</span></div></div><div><div><span><span><span>Thursday, 19:00</span></span><span><span>Thu</span><span><span>19:00</span></span></span></span><button><span>Open additional information for<span>Jazz Rhythms: Smooth Sounds Chicago Jazz Club<span>07.09.23, 19:00</span></span></span></button></div><div><span><span>Jazz Rhythms: Smooth Sounds</span></span><span><span>Chicago</span><span>Jazz Club</span></span></div></div><div><a href='https://www.ticketmaster.de/event/jazz-rhythms-smooth-sounds-tickets/576543'><span><span><span><span>Tickets</span></span><span>Jazz Rhythms: Smooth Sounds Chicago Jazz Club<span>07.09.23, 19:00</span></span></span></span></a></div></div></div><div><div><p>Program / Line-Up:</p><ul><li><a>Miles Davis Tribute</a></li><li><a>Nina Simone Quartet</a></li></ul></div><div><p>Venue</p><p><a>Chicago Jazz Club</a></p></div></div></li>"
Retrieve information about the country music festival.,"<li><div><div><span><span>15.09.23</span></span><div><div><span>Sep</span></div><div><span>15</span></div></div><div><div><span><span><span>Thursday, 17:00</span></span><span><span>Thu</span><span><span>17:00</span></span></span></span><button><span>Open additional information for<span>Country Beats: Nashville Vibes Nashville Fairgrounds<span>15.09.23, 17:00</span></span></span></button></div><div><span><span>Country Beats: Nashville Vibes</span></span><span><span>Nashville</span><span>Fairgrounds</span></span></div></div><div><a href='https://www.ticketmaster.de/event/country-beats-nashville-vibes-tickets/592312'><span><span><span><span>Tickets</span></span><span>Country Beats: Nashville Vibes Nashville Fairgrounds<span>15.09.23, 17:00</span></span></span></span></a></div></div></div><div><div><p>Program / Line-Up:</p><ul><li><a>Carrie Underwood</a></li><li><a>Keith Urban</a></li></ul></div><div><p>Venue</p><p><a>Nashville Fairgrounds</a></p></div></div></li>"
Find details about the comedy show.,"<li><div><div><span><span>21.09.23</span></span><div><div><span>Sep</span></div><div><span>21</span></div></div><div><div><span><span><span>Wednesday, 19:30</span></span><span><span>Wed</span><span><span>19:30</span></span></span></span><button><span>Open additional information for<span>Laugh Out Loud: Stand-up Comedy Special New York Comedy Club<span>21.09.23, 19:30</span></span></span></button></div><div><span><span>Laugh Out Loud: Stand-up Comedy Special</span></span><span><span>New York</span><span>Comedy Club</span></span></div></div><div><a href='https://www.ticketmaster.de/event/laugh-out-loud-stand-up-comedy-special-tickets/606213'><span><span><span><span>Tickets</span></span><span>Laugh Out Loud: Stand-up Comedy Special New York Comedy Club<span>21.09.23, 19:30</span></span></span></span></a></div></div></div><div><div><p>Program / Line-Up:</p><ul><li><a>Jim Gaffigan</a></li><li><a>Ali Wong</a></li></ul></div><div><p>Venue</p><p><a>New York Comedy Club</a></p></div></div></li>"
Retrieve information about the indie music festival.,"<li><div><div><span><span>27.09.23</span></span><div><div><span>Sep</span></div><div><span>27</span></div></div><div><div><span><span><span>Tuesday, 16:45</span></span><span><span>Tue</span><span><span>16:45</span></span></span></span><button><span>Open additional information for<span>Indie Harmony: Music Unplugged Berlin Club<span>27.09.23, 16:45</span></span></span></button></div><div><span><span>Indie Harmony: Music Unplugged</span></span><span><span>Berlin</span><span>Club</span></span></div></div><div><a href='https://www.ticketmaster.de/event/indie-harmony-music-unplugged-tickets/618450'><span><span><span><span>Tickets</span></span><span>Indie Harmony: Music Unplugged Berlin Club<span>27.09.23, 16:45</span></span></span></span></a></div></div></div><div><div><p>Program / Line-Up:</p><ul><li><a>Tame Impala</a></li><li><a>Vampire Weekend</a></li></ul></div><div><p>Venue</p><p><a>Berlin Club</a></p></div></div></li>"
Find details about the theater performance.,"<li><div><div><span><span>03.10.23</span></span><div><div><span>Oct</span></div><div><span>03</span></div></div><div><div><span><span><span>Monday, 19:00</span></span><span><span>Mon</span><span><span>19:00</span></span></span></span><button><span>Open additional information for<span>Dramatic Arts: Shakespeare's Othello London Globe Theatre<span>03.10.23, 19:00</span></span></span></button></div><div><span><span>Dramatic Arts: Shakespeare's Othello</span></span><span><span>London</span><span>Globe Theatre</span></span></div></div><div><a href='https://www.ticketmaster.de/event/dramatic-arts-shakespeares-othello-tickets/624578'><span><span><span><span>Tickets</span></span><span>Dramatic Arts: Shakespeare's Othello London Globe Theatre<span>03.10.23, 19:00</span></span></span></span></a></div></div></div><div><div><p>Program / Line-Up:</p><ul><li><a>William Shakespeare</a></li><li><a>Othello</a></li></ul></div><div><p>Venue</p><p><a>London Globe Theatre</a></p></div></div></li>"
Extract all events between the 23.07.23 and 30.07.23,"<ul><li><div><div><span><span>23.07.23</span></span><div><div><span>Jul</span></div><div><span>23</span></div></div><div><div><span><span><span>Sonntag, 13:00</span></span><span><span>So</span><span><span>13:00</span></span></span></span><button><span>Zusätzliche Infos öffnen für<span>Stuttgart Surge - Barcelona Dragons Stuttgart Gazi Stadion auf der Waldau<span>23.07.23, 13:00</span></span></span></button></div><div><span><span>Stuttgart Surge - Barcelona Dragons</span></span><span><span>Stuttgart</span><span>Gazi Stadion auf der Waldau</span></span></div></div><div><a href='https://www.ticketmaster.de/event/stuttgart-surge-barcelona-dragons-tickets/502237'><span><span><span><span>Tickets</span></span><span>Stuttgart Surge - Barcelona Dragons Stuttgart Gazi Stadion auf der Waldau<span>23.07.23, 13:00</span></span></span></span></a></div></div></div><div><div><p>Programm / Line-Up:</p><ul><li><a>Stuttgart Surge</a></li></ul></div><div><p>Spielstätte</p><p><a>Gazi Stadion auf der Waldau</a></p></div></div></li><li><div><div><span><span>23.07.23</span></span><div><div><span>Jul</span></div><div><span>23</span></div></div><div><div><span><span><span>Sonntag, 16:25</span></span><span><span>So</span><span><span>16:25</span></span></span></span><button><span>Zusätzliche Infos öffnen für<span>Rhein Fire vs. Cologne Centurions Duisburg Schauinsland-Reisen-Arena<span>23.07.23, 16:25</span></span></span></button></div><div><span><span>Rhein Fire vs. Cologne Centurions</span></span><span><span>Duisburg</span><span>Schauinsland-Reisen-Arena</span></span></div></div><div><a href='https://www.ticketmaster.de/event/rhein-fire-vs-cologne-centurions-tickets/503921'><span><span><span><span>Tickets</span></span><span>Rhein Fire vs. Cologne Centurions Duisburg Schauinsland-Reisen-Arena<span>23.07.23, 16:25</span></span></span></span></a></div></div></div><div><div><p>Programm / Line-Up:</p><ul><li><a>Rhein Fire</a></li></ul></div><div><p>Spielstätte</p><p><a>Schauinsland-Reisen-Arena</a></p></div></div></li><li><div><div><span><span>30.07.23</span></span><div><div><span>Jul</span></div><div><span>30</span></div></div><div><div><span><span><span>Sonntag, 13:00</span></span><span><span>So</span><span><span>13:00</span></span></span></span><button><span>Zusätzliche Infos öffnen für<span>Frankfurt Galaxy - Fehervar Enthroners Frankfurt am Main PSD Bank Stadion<span>30.07.23, 13:00</span></span></span></button></div><div><span><span>Frankfurt Galaxy - Fehervar Enthroners</span></span><span><span>Frankfurt am Main</span><span>PSD Bank Stadion</span></span></div></div><div><a href='https://www.ticketmaster.de/event/frankfurt-galaxy-fehervar-enthroners-tickets/505987'><span><span><span><span>Tickets</span></span><span>Frankfurt Galaxy - Fehervar Enthroners Frankfurt am Main PSD Bank Stadion<span>30.07.23, 13:00</span></span></span></span></a></div></div></div><div><div><p>Programm / Line-Up:</p><ul><li><a>Frankfurt Galaxy</a></li></ul></div><div><p>Spielstätte</p><p><a>PSD Bank Stadion</a></p></div></div></li><li><div><div><span><span>30.07.23</span></span><div><div><span>Jul</span></div><div><span>30</span></div></div><div><div><span><span><span>Sonntag, 13:00</span></span><span><span>So</span><span><span>13:00</span></span></span></span><button><span>Zusätzliche Infos öffnen für<span>Leipzig Kings - Vienna Vikings - ABGESAGT Leipzig Bruno-Plache-Stadion<span>30.07.23, 13:00</span></span></span></button></div><div><span><span>Leipzig Kings - Vienna Vikings - ABGESAGT</span></span><span><span>Leipzig</span><span>Bruno-Plache-Stadion</span></span><div><div><div><span></span><span>Abgesagt</span></div></div></div></div></div><div><a href='https://www.ticketmaster.de/event/leipzig-kings-vienna-vikings-abgesagt-tickets/506485'><span><span><span>Leipzig Kings - Vienna Vikings - ABGESAGT Leipzig Bruno-Plache-Stadion<span>30.07.23, 13:00</span></span><span><span>Event-Info</span></span></span></span></a></div></div></div><div><div><p>Programm / Line-Up:</p><ul><li><a>Leipzig Kings</a></li></ul></div><div><p>Spielstätte</p><p><a>Bruno-Plache-Stadion</a></p></div></div></li></ul>"
Extract all events between the 01.08.23 and 10.08.23,"<ul><li><div><div><span><span>01.08.23</span></span><div><div><span>Aug</span></div><div><span>01</span></div></div><div><div><span><span><span>Sonntag, 14:30</span></span><span><span>So</span><span><span>14:30</span></span></span></span><button><span>Zusätzliche Infos öffnen für<span>Bayern München - Borussia Dortmund München Allianz Arena<span>01.08.23, 14:30</span></span></span></button></div><div><span><span>Bayern München - Borussia Dortmund</span></span><span><span>München</span><span>Allianz Arena</span></span></div></div><div><a href='https://www.ticketmaster.de/event/bayern-munchen-borussia-dortmund-tickets/508765'><span><span><span><span>Tickets</span></span><span>Bayern München - Borussia Dortmund München Allianz Arena<span>01.08.23, 14:30</span></span></span></span></a></div></div></div><div><div><p>Programm / Line-Up:</p><ul><li><a>Bayern München</a></li><li><a>Borussia Dortmund</a></li></ul></div><div><p>Spielstätte</p><p><a>Allianz Arena</a></p></div></div></li><li><div><div><span><span>02.08.23</span></span><div><div><span>Aug</span></div><div><span>02</span></div></div><div><div><span><span><span>Montag, 19:00</span></span><span><span>Mo</span><span><span>19:00</span></span></span></span><button><span>Zusätzliche Infos öffnen für<span>London Symphony Orchestra: Beethoven Cycle London Barbican Hall<span>02.08.23, 19:00</span></span></span></button></div><div><span><span>London Symphony Orchestra: Beethoven Cycle</span></span><span><span>London</span><span>Barbican Hall</span></span></div></div><div><a href='https://www.barbican.org.uk/whats-on/2023/event/london-symphony-orchestra-beethoven-cycle'><span><span><span><span>Tickets</span></span><span>London Symphony Orchestra: Beethoven Cycle London Barbican Hall<span>02.08.23, 19:00</span></span></span></span></a></div></div></div><div><div><p>Programm / Line-Up:</p><ul><li><a>London Symphony Orchestra</a></li></ul></div><div><p>Spielstätte</p><p><a>Barbican Hall</a></p></div></div></li><li><div><div><span><span>03.08.23</span></span><div><div><span>Aug</span></div><div><span>03</span></div></div><div><div><span><span><span>Mittwoch, 20:15</span></span><span><span>Mi</span><span><span>20:15</span></span></span></span><button><span>Zusätzliche Infos öffnen für<span>Paris Fashion Week: Haute Couture Paris Various Locations<span>03.08.23, 20:15</span></span></span></button></div><div><span><span>Paris Fashion Week: Haute Couture</span></span><span><span>Paris</span><span>Various Locations</span></span></div></div><div><a href='https://www.fhcm.paris/en/fashion-week/paris-haute-couture'><span><span><span><span>Tickets</span></span><span>Paris Fashion Week: Haute Couture Paris Various Locations<span>03.08.23, 20:15</span></span></span></span></a></div></div></div><div><div><p>Programm / Line-Up:</p><ul><li><a>Paris Fashion Week</a></li></ul></div><div><p>Spielstätte</p><p><a>Various Locations</a></p></div></div></li></ul>"
Extract all events between the 15.08.23 and 25.08.23,"<ul><li><div><div><span><span>15.08.23</span></span><div><div><span>Aug</span></div><div><span>15</span></div></div><div><div><span><span><span>Sonntag, 12:00</span></span><span><span>So</span><span><span>12:00</span></span></span></span><button><span>Zusätzliche Infos öffnen für<span>New York Fashion Week: Spring/Summer New York Various Locations<span>15.08.23, 12:00</span></span></span></button></div><div><span><span>New York Fashion Week: Spring/Summer</span></span><span><span>New York</span><span>Various Locations</span></span></div></div><div><a href='https://nyfw.com/spring-summer-2023'><span><span><span><span>Tickets</span></span><span>New York Fashion Week: Spring/Summer New York Various Locations<span>15.08.23, 12:00</span></span></span></span></a></div></div></div><div><div><p>Programm / Line-Up:</p><ul><li><a>New York Fashion Week</a></li></ul></div><div><p>Spielstätte</p><p><a>Various Locations</a></p></div></div></li><li><div><div><span><span>20.08.23</span></span><div><div><span>Aug</span></div><div><span>20</span></div></div><div><div><span><span><span>Freitag, 19:30</span></span><span><span>Fr</span><span><span>19:30</span></span></span></span><button><span>Zusätzliche Infos öffnen für<span>Manchester United - Liverpool Manchester Old Trafford<span>20.08.23, 19:30</span></span></span></button></div><div><span><span>Manchester United - Liverpool</span></span><span><span>Manchester</span><span>Old Trafford</span></span></div></div><div><a href='https://www.ticketmaster.co.uk/manchester-united-v-liverpool-tickets/935108'><span><span><span><span>Tickets</span></span><span>Manchester United - Liverpool Manchester Old Trafford<span>20.08.23, 19:30</span></span></span></span></a></div></div></div><div><div><p>Programm / Line-Up:</p><ul><li><a>Manchester United</a></li><li><a>Liverpool</a></li></ul></div><div><p>Spielstätte</p><p><a>Old Trafford</a></p></div></div></li><li><div><div><span><span>25.08.23</span></span><div><div><span>Aug</span></div><div><span>25</span></div></div><div><div><span><span><span>Donnerstag, 18:00</span></span><span><span>Do</span><span><span>18:00</span></span></span></span><button><span>Zusätzliche Infos öffnen für<span>Tokyo Olympic Games: Closing Ceremony Tokyo Olympic Stadium<span>25.08.23, 18:00</span></span></span></button></div><div><span><span>Tokyo Olympic Games: Closing Ceremony</span></span><span><span>Tokyo</span><span>Olympic Stadium</span></span></div></div><div><a href='https://tokyo2020.org/en/games/closing-ceremony'><span><span><span><span>Tickets</span></span><span>Tokyo Olympic Games: Closing Ceremony Tokyo Olympic Stadium<span>25.08.23, 18:00</span></span></span></span></a></div></div></div><div><div><p>Programm / Line-Up:</p><ul><li><a>Tokyo Olympic Games</a></li></ul></div><div><p>Spielstätte</p><p><a>Olympic Stadium</a></p></div></div></li></ul>"
Extract all events between the 05.09.23 and 15.09.23,"<ul><li><div><div><span><span>05.09.23</span></span><div><div><span>Sep</span></div><div><span>05</span></div></div><div><div><span><span><span>Sonntag, 15:30</span></span><span><span>So</span><span><span>15:30</span></span></span></span><button><span>Zusätzliche Infos öffnen für<span>Paris Saint-Germain - Manchester City Paris Parc des Princes<span>05.09.23, 15:30</span></span></span></button></div><div><span><span>Paris Saint-Germain - Manchester City</span></span><span><span>Paris</span><span>Parc des Princes</span></span></div></div><div><a href='https://www.psg.fr/en/tickets/2023-09-05-15-30-paris-saint-germain-vs-manchester-city'><span><span><span><span>Tickets</span></span><span>Paris Saint-Germain - Manchester City Paris Parc des Princes<span>05.09.23, 15:30</span></span></span></span></a></div></div></div><div><div><p>Programm / Line-Up:</p><ul><li><a>Paris Saint-Germain</a></li><li><a>Manchester City</a></li></ul></div><div><p>Spielstätte</p><p><a>Parc des Princes</a></p></div></div></li><li><div><div><span><span>10.09.23</span></span><div><div><span>Sep</span></div><div><span>10</span></div></div><div><div><span><span><span>Freitag, 20:00</span></span><span><span>Fr</span><span><span>20:00</span></span></span></span><button><span>Zusätzliche Infos öffnen für<span>Los Angeles Lakers - Golden State Warriors Los Angeles Staples Center<span>10.09.23, 20:00</span></span></span></button></div><div><span><span>Los Angeles Lakers - Golden State Warriors</span></span><span><span>Los Angeles</span><span>Staples Center</span></span></div></div><div><a href='https://www.ticketmaster.com/los-angeles-lakers-vs-golden-state-warriors-los-angeles-california-09-10-2023/event/09005AC6F57F50F6'><span><span><span><span>Tickets</span></span><span>Los Angeles Lakers - Golden State Warriors Los Angeles Staples Center<span>10.09.23, 20:00</span></span></span></span></a></div></div></div><div><div><p>Programm / Line-Up:</p><ul><li><a>Los Angeles Lakers</a></li><li><a>Golden State Warriors</a></li></ul></div><div><p>Spielstätte</p><p><a>Staples Center</a></p></div></div></li><li><div><div><span><span>15.09.23</span></span><div><div><span>Sep</span></div><div><span>15</span></div></div><div><div><span><span><span>Mittwoch, 19:45</span></span><span><span>Mi</span><span><span>19:45</span></span></span></span><button><span>Zusätzliche Infos öffnen für<span>FC Barcelona - Real Madrid Barcelona Camp Nou<span>15.09.23, 19:45</span></span></span></button></div><div><span><span>FC Barcelona - Real Madrid</span></span><span><span>Barcelona</span><span>Camp Nou</span></span></div></div><div><a href='https://www.fcbarcelona.com/en/tickets/football-tickets'><span><span><span><span>Tickets</span></span><span>FC Barcelona - Real Madrid Barcelona Camp Nou<span>15.09.23, 19:45</span></span></span></span></a></div></div></div><div><div><p>Programm / Line-Up:</p><ul><li><a>FC Barcelona</a></li><li><a>Real Madrid</a></li></ul></div><div><p>Spielstätte</p><p><a>Camp Nou</a></p></div></div></li></ul>"
Extract all events between the 20.09.23 and 30.09.23,"<ul><li><div><div><span><span>20.09.23</span></span><div><div><span>Sep</span></div><div><span>20</span></div></div><div><div><span><span><span>Samstag, 14:30</span></span><span><span>Sa</span><span><span>14:30</span></span></span></span><button><span>Zusätzliche Infos öffnen für<span>Athletic Bilbao - Real Sociedad Bilbao San Mamés<span>20.09.23, 14:30</span></span></span></button></div><div><span><span>Athletic Bilbao - Real Sociedad</span></span><span><span>Bilbao</span><span>San Mamés</span></span></div></div><div><a href='https://www.athletic-club.eus/en/tickets.html'><span><span><span><span>Tickets</span></span><span>Athletic Bilbao - Real Sociedad Bilbao San Mamés<span>20.09.23, 14:30</span></span></span></span></a></div></div></div><div><div><p>Programm / Line-Up:</p><ul><li><a>Athletic Bilbao</a></li><li><a>Real Sociedad</a></li></ul></div><div><p>Spielstätte</p><p><a>San Mamés</a></p></div></div></li><li><div><div><span><span>25.09.23</span></span><div><div><span>Sep</span></div><div><span>25</span></div></div><div><div><span><span><span>Samstag, 18:00</span></span><span><span>Sa</span><span><span>18:00</span></span></span></span><button><span>Zusätzliche Infos öffnen für<span>Los Angeles Dodgers - San Francisco Giants Los Angeles Dodger Stadium<span>25.09.23, 18:00</span></span></span></button></div><div><span><span>Los Angeles Dodgers - San Francisco Giants</span></span><span><span>Los Angeles</span><span>Dodger Stadium</span></span></div></div><div><a href='https://www.mlb.com/dodgers/tickets/single-game-tickets'><span><span><span><span>Tickets</span></span><span>Los Angeles Dodgers - San Francisco Giants Los Angeles Dodger Stadium<span>25.09.23, 18:00</span></span></span></span></a></div></div></div><div><div><p>Programm / Line-Up:</p><ul><li><a>Los Angeles Dodgers</a></li><li><a>San Francisco Giants</a></li></ul></div><div><p>Spielstätte</p><p><a>Dodger Stadium</a></p></div></div></li><li><div><div><span><span>30.09.23</span></span><div><div><span>Sep</span></div><div><span>30</span></div></div><div><div><span><span><span>Freitag, 20:15</span></span><span><span>Fr</span><span><span>20:15</span></span></span></span><button><span>Zusätzliche Infos öffnen für<span>Chicago Bears - Green Bay Packers Chicago Soldier Field<span>30.09.23, 20:15</span></span></span></button></div><div><span><span>Chicago Bears - Green Bay Packers</span></span><span><span>Chicago</span><span>Soldier Field</span></span></div></div><div><a href='https://www.ticketmaster.com/chicago-bears-vs-green-bay-packers-chicago-illinois-09-30-2023/event/04005AC7BF4107A5'><span><span><span><span>Tickets</span></span><span>Chicago Bears - Green Bay Packers Chicago Soldier Field<span>30.09.23, 20:15</span></span></span></span></a></div></div></div><div><div><p>Programm / Line-Up:</p><ul><li><a>Chicago Bears</a></li><li><a>Green Bay Packers</a></li></ul></div><div><p>Spielstätte</p><p><a>Soldier Field</a></p></div></div></li></ul>"
Extract all events between the 01.10.23 and 10.10.23,"<ul><li><div><div><span><span>01.10.23</span></span><div><div><span>Okt</span></div><div><span>01</span></div></div><div><div><span><span><span>Samstag, 12:00</span></span><span><span>Sa</span><span><span>12:00</span></span></span></span><button><span>Zusätzliche Infos öffnen für<span>AS Roma - Lazio Rom Rom Stadio Olimpico<span>01.10.23, 12:00</span></span></span></button></div><div><span><span>AS Roma - Lazio Rom</span></span><span><span>Rom</span><span>Stadio Olimpico</span></span></div></div><div><a href='https://www.asroma.com/en/tickets/buy-tickets'><span><span><span><span>Tickets</span></span><span>AS Roma - Lazio Rom Rom Stadio Olimpico<span>01.10.23, 12:00</span></span></span></span></a></div></div></div><div><div><p>Programm / Line-Up:</p><ul><li><a>AS Roma</a></li><li><a>Lazio Rom</a></li></ul></div><div><p>Spielstätte</p><p><a>Stadio Olimpico</a></p></div></div></li><li><div><div><span><span>06.10.23</span></span><div><div><span>Okt</span></div><div><span>06</span></div></div><div><div><span><span><span>Donnerstag, 17:00</span></span><span><span>Do</span><span><span>17:00</span></span></span></span><button><span>Zusätzliche Infos öffnen für<span>Portland Timbers - Seattle Sounders Portland Providence Park<span>06.10.23, 17:00</span></span></span></button></div><div><span><span>Portland Timbers - Seattle Sounders</span></span><span><span>Portland</span><span>Providence Park</span></span></div></div><div><a href='https://www.portlandtimbers.com/tickets/single-game'><span><span><span><span>Tickets</span></span><span>Portland Timbers - Seattle Sounders Portland Providence Park<span>06.10.23, 17:00</span></span></span></span></a></div></div></div><div><div><p>Programm / Line-Up:</p><ul><li><a>Portland Timbers</a></li><li><a>Seattle Sounders</a></li></ul></div><div><p>Spielstätte</p><p><a>Providence Park</a></p></div></div></li><li><div><div><span><span>10.10.23</span></span><div><div><span>Okt</span></div><div><span>10</span></div></div><div><div><span><span><span>Montag, 19:00</span></span><span><span>Mo</span><span><span>19:00</span></span></span></span><button><span>Zusätzliche Infos öffnen für<span>Minnesota Vikings - Green Bay Packers Minneapolis U.S. Bank Stadium<span>10.10.23, 19:00</span></span></span></button></div><div><span><span>Minnesota Vikings - Green Bay Packers</span></span><span><span>Minneapolis</span><span>U.S. Bank Stadium</span></span></div></div><div><a href='https://www.ticketmaster.com/minnesota-vikings-vs-green-bay-packers-minneapolis-minnesota-10-10-2023/event/06005AD2C3493F13'><span><span><span><span>Tickets</span></span><span>Minnesota Vikings - Green Bay Packers Minneapolis U.S. Bank Stadium<span>10.10.23, 19:00</span></span></span></span></a></div></div></div><div><div><p>Programm / Line-Up:</p><ul><li><a>Minnesota Vikings</a></li><li><a>Green Bay Packers</a></li></ul></div><div><p>Spielstätte</p><p><a>U.S. Bank Stadium</a></p></div></div></li></ul>"
Extract all events between the 15.10.23 and 20.10.23,"<ul><li><div><div><span><span>15.10.23</span></span><div><div><span>Okt</span></div><div><span>15</span></div></div><div><div><span><span><span>Samstag, 14:30</span></span><span><span>Sa</span><span><span>14:30</span></span></span></span><button><span>Zusätzliche Infos öffnen für<span>Manchester City - Chelsea Manchester Etihad Stadium<span>15.10.23, 14:30</span></span></span></button></div><div><span><span>Manchester City - Chelsea</span></span><span><span>Manchester</span><span>Etihad Stadium</span></span></div></div><div><a href='https://www.mancity.com/tickets'><span><span><span><span>Tickets</span></span><span>Manchester City - Chelsea Manchester Etihad Stadium<span>15.10.23, 14:30</span></span></span></span></a></div></div></div><div><div><p>Programm / Line-Up:</p><ul><li><a>Manchester City</a></li><li><a>Chelsea</a></li></ul></div><div><p>Spielstätte</p><p><a>Etihad Stadium</a></p></div></div></li><li><div><div><span><span>18.10.23</span></span><div><div><span>Okt</span></div><div><span>18</span></div></div><div><div><span><span><span>Dienstag, 19:00</span></span><span><span>Di</span><span><span>19:00</span></span></span></span><button><span>Zusätzliche Infos öffnen für<span>Golden State Warriors - Los Angeles Lakers San Francisco Chase Center<span>18.10.23, 19:00</span></span></span></button></div><div><span><span>Golden State Warriors - Los Angeles Lakers</span></span><span><span>San Francisco</span><span>Chase Center</span></span></div></div><div><a href='https://www.nba.com/warriors/tickets'><span><span><span><span>Tickets</span></span><span>Golden State Warriors - Los Angeles Lakers San Francisco Chase Center<span>18.10.23, 19:00</span></span></span></span></a></div></div></div><div><div><p>Programm / Line-Up:</p><ul><li><a>Golden State Warriors</a></li><li><a>Los Angeles Lakers</a></li></ul></div><div><p>Spielstätte</p><p><a>Chase Center</a></p></div></div></li><li><div><div><span><span>20.10.23</span></span><div><div><span>Okt</span></div><div><span>20</span></div></div><div><div><span><span><span>Donnerstag, 20:15</span></span><span><span>Do</span><span><span>20:15</span></span></span></span><button><span>Zusätzliche Infos öffnen für<span>Real Madrid - FC Barcelona Madrid Santiago Bernabéu<span>20.10.23, 20:15</span></span></span></button></div><div><span><span>Real Madrid - FC Barcelona</span></span><span><span>Madrid</span><span>Santiago Bernabéu</span></span></div></div><div><a href='https://www.realmadrid.com/en/tickets'><span><span><span><span>Tickets</span></span><span>Real Madrid - FC Barcelona Madrid Santiago Bernabéu<span>20.10.23, 20:15</span></span></span></span></a></div></div></div><div><div><p>Programm / Line-Up:</p><ul><li><a>Real Madrid</a></li><li><a>FC Barcelona</a></li></ul></div><div><p>Spielstätte</p><p><a>Santiago Bernabéu</a></p></div></div></li></ul>"
